,,,,
letterlabel,lettertypelabel,sendername,worktype,workname
Q.01.19140409.FMA.01,postcard,"Marc, Franz",artwork,Katzenblatt
Q.01.19140822.JVH.01,postcard,"Heemskerck van Beest, Jacoba van",artwork,Zeichnung
Q.01.19150217.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Zeichnung
Q.01.19150818.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Holzschnitt
Q.01.19150824.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Holzschnitt
Q.01.19151018.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Holzschnitt
Q.01.19150123.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Holzschnitt
Q.01.19151126.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Holzschnitt
Q.01.19150228.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Holzstock
Q.01.19140121.FMA.01,letter,"Marc, Franz",artwork,Komposition II
Q.01.19150315.FMA.01,postcard,"Marc, Franz",artwork,Komposition II
Q.01.19150315.FMA.02,letter,"Marc, Franz",artwork,Komposition II
Q.01.19140121.FMA.01,letter,"Marc, Franz",artwork,Komposition III
Q.01.19150315.FMA.01,postcard,"Marc, Franz",artwork,Komposition III
Q.01.19150315.FMA.02,letter,"Marc, Franz",artwork,Komposition III
Q.01.19140119.FMA.01,postcard,"Marc, Franz",artwork,Häringe
Q.01.19150703.FMA.01,militaryMail,"Marc, Franz",artwork,Delacroix-Drucke
Q.01.19150710.FMA.01,postcard,"Marc, Franz",artwork,Delacroix-Drucke
Q.01.19150413.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Bild 8
Q.01.19150413.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Bild 14
Q.01.19150530.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Bild 14
Q.01.19140121.FMA.01,letter,"Marc, Franz",artwork,Bild 98
Q.01.19140121.FMA.01,letter,"Marc, Franz",artwork,Bild 100
Q.01.19140121.FMA.01,letter,"Marc, Franz",artwork,Bild 101
Q.01.19140121.FMA.01,letter,"Marc, Franz",artwork,Bild 102
Q.01.19140121.FMA.01,letter,"Marc, Franz",artwork,Bild 99
Q.01.19140125.FMA.02,letter,"Marc, Franz",artwork,Barbaren
Q.01.19141203.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Bild
Q.01.19150313.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Bild
Q.01.19150209.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Bild 15
Q.01.19150228.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Bild 15
Q.01.19150313.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Bild 15
Q.01.19150530.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Bild 15
Q.01.19140125.FMA.02,letter,"Marc, Franz",artwork,Aktbild
Q.01.19140125.FMA.02,letter,"Marc, Franz",artwork,Eber
Q.01.19140125.FMA.02,letter,"Marc, Franz",artwork,Eselfries
Q.01.19151010.FMA.01,letter,"Marc, Franz",artwork,Hasenangstbild
Q.01.19140125.FMA.02,letter,"Marc, Franz",artwork,Holzträger
Q.01.19140125.FMA.02,letter,"Marc, Franz",artwork,Kämpfende Kühe
Q.01.19150710.FMA.01,postcard,"Marc, Franz",artwork,Kämpfende Kühe
Q.01.19151010.FMA.01,letter,"Marc, Franz",artwork,Katzen
Q.01.19140121.FMA.01,letter,"Marc, Franz",artwork,Komposition I
Q.01.19150315.FMA.01,postcard,"Marc, Franz",artwork,Komposition I
Q.01.19150315.FMA.02,letter,"Marc, Franz",artwork,Komposition I
Q.01.19150315.FMA.01,postcard,"Marc, Franz",artwork,Mandrill
Q.01.19150315.FMA.02,letter,"Marc, Franz",artwork,Mandrill
Q.01.19150313.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,No. 16 Figur
Q.01.19150313.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Porträt
Q.01.19150315.FMA.01,postcard,"Marc, Franz",artwork,Rinder
Q.01.19150315.FMA.02,letter,"Marc, Franz",artwork,Rinder
Q.01.19140125.FMA.02,letter,"Marc, Franz",artwork,Schweine
Q.01.19150315.FMA.01,postcard,"Marc, Franz",artwork,Stallungen
Q.01.19150315.FMA.02,letter,"Marc, Franz",artwork,Stallungen
Q.01.19140414.FMA.01,postcard,"Marc, Franz",artwork,Wasserfall
Q.01.19150315.FMA.01,postcard,"Marc, Franz",artwork,Wasserfall
Q.01.19150315.FMA.02,letter,"Marc, Franz",artwork,Wasserfall
Q.01.19151125.FMA.01,militaryMail,"Marc, Franz",artwork,Wasserfall
Q.01.19140414.FMA.01,postcard,"Marc, Franz",artwork,Genesis
Q.01.19140121.FMA.01,letter,"Marc, Franz",artwork,No 160
Q.01.19150315.FMA.01,postcard,"Marc, Franz",artwork,Wald
Q.01.19150315.FMA.02,letter,"Marc, Franz",artwork,Wald
Q.01.19150228.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Zeichnungen
Q.01.19150303.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Zeichnungen
Q.01.19150308.JVH.01,letter,"Heemskerck van Beest, Jacoba van",artwork,Zeichnungen
Q.01.19141219.JVH.01,letter,"Heemskerck van Beest, Jacoba van",article,Deutsche Expressionisten. 1914
Q.01.19150409.JVH.01,letter,"Heemskerck van Beest, Jacoba van",article,Der Krieg und die künstlerische Produktion. 1915.
Q.01.19150929.JVH.01,letter,"Heemskerck van Beest, Jacoba van",article,Biologie und Kubismus. 1915.
Q.01.19151010.FMA.01,letter,"Marc, Franz",article,Nachruf auf August Stramm. 1915.
Q.01.19151016.FMA.01,letter,"Marc, Franz",article,Geschehen. 1915.
Q.01.19150409.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,Die Umschau
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,Avondpost
Q.01.19141016.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,De Nieuwe Courant
Q.01.19141027.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,De Nieuwe Courant
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,De Nieuwe Courant
Q.01.19150606.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,De Toekomst
Q.01.19141129.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,De Toestand
Q.01.19150217.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,Flämische Zeitung
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,Hofstad
Q.01.19151218.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,Residentie Bode
Q.01.19141027.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,Journal des Réfugiés
Q.01.19141111.JVH.01,letter,"Heemskerck van Beest, Jacoba van",newspaper,Die Hilfe
Q.01.19150906.FMA.01,militaryMail,"Marc, Franz",book,Der Krieg und die deutsche Kunst. Freiburg i. B. 1914.
Q.01.19141219.JVH.01,letter,"Heemskerck van Beest, Jacoba van",book,Zur Neuen Kunst
Q.01.19150123.JVH.01,letter,"Heemskerck van Beest, Jacoba van",book,Zur Neuen Kunst
Q.01.19150129.JVH.01,letter,"Heemskerck van Beest, Jacoba van",book,Zur Neuen Kunst
Q.01.19150131.JVH.01,letter,"Heemskerck van Beest, Jacoba van",book,Zur Neuen Kunst
Q.01.19140612.JVH.01,letter,"Heemskerck van Beest, Jacoba van",book,Glasarchitektur. Berlin 1914.
Q.01.19140414.FMA.01,postcard,"Marc, Franz",journal,Sturm (Zeitschrift)
Q.01.19140601.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19140822.JVH.01,postcard,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19140925.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19141009.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19141016.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19141113.FMA.01,militaryMail,"Marc, Franz",journal,Sturm (Zeitschrift)
Q.01.19141117.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19141219.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150116.FMA.01,militaryMail,"Marc, Franz",journal,Sturm (Zeitschrift)
Q.01.19150123.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150129.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150217.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150228.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150303.FMA.01,postcard,"Marc, Franz",journal,Sturm (Zeitschrift)
Q.01.19150310.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150317.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150321.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150327.FMA.01,militaryMail,"Marc, Franz",journal,Sturm (Zeitschrift)
Q.01.19150429.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150507.JVH.01,postcard,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150530.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150710.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150723.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
Q.01.19150818.JVH.01,letter,"Heemskerck van Beest, Jacoba van",journal,Sturm (Zeitschrift)
