,,,,
letterlabel,lettertypelabel,sendername,name,gender
Q.01.19140730.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Herwarth",Männlich
Q.01.19140322.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19140730.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19140807.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19140820.JVH.01,postcard,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19140925.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19141009.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19141016.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19141027.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19141105.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19141111.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150123.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150209.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150217.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150228.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150303.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150310.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150313.JVH.01,letter,"Heemskerck van Beest, Jacoba van","Walden, Nell",Weiblich
Q.01.19150315.FMA.01,postcard,"Marc, Franz","Walden, Nell",Weiblich
Q.01.19150315.FMA.02,letter,"Marc, Franz","Walden, Nell",Weiblich
